state,acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,NCES District ID,nces_original_name,county,student
FL,School District of Polk County,98989,2020,1056455681,193684970,88624854,0,0,6000000,501853478,0,33902309,0,42123376,4024614,52921353,7960023,1084731612,30679307,1118958295,0,0,0,1149637602,polk,1201590,POLK,Polk County,102952
CA,San Diego Unified School District,146593,2020,6421488110,4078135640,283424562,0,332868531,0,1449568000,0,135880213,0,38185704,23754584,395178069,5520180,1563459083,112237198,1875674718,0,0,0,1987911916,san diego unified,0634320,San Diego Unified,San Diego County,102270
KY,Jefferson County Board of Education,33679,2020,1662666688,497526752,125861913,0,0,0,534348849,0,431036181,0,47692705,3534142,144026165,10257913,1415000030,-18421613,1591239863,0,0,0,1572818250,jefferson,2102990,Jefferson County,Jefferson County,100348
FL,District School Board of Pinellas County,69989,2020,931076698,14000,85950164,3873480,0,0,608061187,0,52281715,0,94211770,17754031,37902684,10016909,1063647547,-35955310,1165276481,0,0,0,1129321171,pinellas,1201560,PINELLAS,Pinellas County,99772
GA,Dekalb County Board of Education,105280,2020,2301940046,118060211,165274097,0,0,0,1122765085,0,770250780,0,8089874,3132925,681738196,23903969,757998045,34824150,1431948985,0,0,0,1466773135,dekalb,1301740,DeKalb County,DeKalb County,98800
FL,The School District of Lee County,32402,2020,1278007845,923563,115331940,0,0,8611535,486925058,0,50552528,0,69471993,12196407,42640661,20922985,1074997367,48217076,1102540344,0,0,0,1150757420,lee,1201080,LEE,Lee County,95613
GA,Fulton County Board of Education,70979,2020,1976650177,11495000,147758512,0,0,0,1091755582,0,660783856,0,40915749,30751388,497555673,40654865,840970045,92816105,1317115866,0,0,0,1409931971,fulton,1302280,Fulton County,Fulton County,93897
VA,Prince William County Public Schools,197665,2020,1241056033,0,149774305,0,0,0,880640955,0,159352777,3001795,36717959,17591808,168117634,0,1223146145,118329009,1290526578,0,0,0,1408855587,prince william,5103130,PRINCE WILLIAM CO PBLC SCHS,Prince William County,92237
NM,Albuquerque Municipal School District No. 12,35931,2020,2397848787,598135834,105373655,0,0,7667573,1284568723,0,363064860,0,4774958,57083033,153411824,22974214,897998862,558924478,572543455,98231556,1155266,0,1131467933,albuquerque,3500060,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,88312
MD,Anne Arundel County Board of Education,41282,2020,2182951319,0,195973167,18330228,0,0,64243619,0,1859904000,0,44500305,9800091,192752578,183266366,1095775527,76549816,1405044746,0,0,0,1481594562,anne arundel,2400060,Anne Arundel County Public Schools,Anne Arundel County,84984
CO,Jefferson County School District No R-1,32057,2020,2353743121,678951035,193639125,0,0,0,1347298359,0,66246238,0,5735402,61400855,112158224,0,844008841,286551544,731016376,0,0,0,1017567920,jefferson no r-,0804800,Jefferson County School District No. R-1,Jefferson County,84078
VA,Loudoun County Public Schools,197654,2020,1674258721,0,190203621,25218883,0,0,993580040,0,403737216,0,44238573,16825978,75940321,172769957,1232337818,36584356,1461289718,189502871,0,0,1497874074,loudoun,5102250,LOUDOUN CO PBLC SCHS,Loudoun County,83606
