"","FIPS","state.abb","state.name","county","population","total_liabilities","revenues","liab_rev_ratio","liab_percapita"
"37","0500000US24031","MD","Maryland","Montgomery County",1062061,6415638072,5082707410,126.224815919514,6040.7434902515
"38","0500000US04019","AZ","Arizona","Pima County",1043433,1970239000,1188854000,165.725900741386,1888.22761020593
"39","0500000US06019","CA","California","Fresno County",1008654,2161228000,1757231000,122.990545921396,2142.68520225964
"40","0500000US36119","NY","New York","Westchester County",1004457,6973518018,2636441581,264.504932263849,6942.57496139705
"41","0500000US29189","MO","Missouri","St. Louis County",1004125,1099837660,870844379,126.295545624691,1095.31946719781
"42","0500000US18097","IN","Indiana","Marion County",977203,873586220,348954336,250.343993432997,893.965962036547
"43","0500000US24033","MD","Maryland","Prince George's County",967201,7876190727,2497217158,315.398710991878,8143.28224123011
"44","0500000US12103","FL","Florida","Pinellas County",959107,1957358812,1558505792,125.592013969236,2040.81381118061
"45","0500000US13135","GA","Georgia","Gwinnett County",957062,1455596,1697363,85.7563172992459,1.52090042233419
"46","0500000US34003","NJ","New Jersey","Bergen County",955732,1293974943,813424414,159.077465678329,1353.90982304663
"47","0500000US36029","NY","New York","Erie County",954236,3025657000,1883843000,160.610889548651,3170.76383619985
"48","0500000US55079","WI","Wisconsin","Milwaukee County",939489,2876921000,1171061000,245.667902867571,3062.21892965218
"49","0500000US47157","TN","Tennessee","Shelby County",929744,1845498562,1216535173,151.701208724526,1984.95345170283
"50","0500000US53053","WA","Washington","Pierce County",921130,758885000,938767000,80.8384828184203,823.863081215464
"51","0500000US06029","CA","California","Kern County",909235,2747291000,1848241000,148.643548108715,3021.54118572206
"52","0500000US48121","TX","Texas","Denton County",906422,920520035,417144223,220.671888580847,1015.55350046667
"53","0500000US26099","MI","Michigan","Macomb County",881217,588170168,838603717,70.1368424771721,667.452134945195
"54","0500000US48141","TX","Texas","El Paso County",865657,422205749,382317073,110.433401701629,487.728683531699
"55","0500000US34013","NJ","New Jersey","Essex County",863728,1244720579,1008216197,123.457705073945,1441.1024987033
"56","0500000US34023","NJ","New Jersey","Middlesex County",863162,769523890,689147555,111.663153183501,891.517339734604
"57","0500000US24005","MD","Maryland","Baltimore County",854535,8640980000,3167797000,272.775686068268,10111.9088159057
"58","0500000US06111","CA","California","Ventura County",843843,2147171000,2164226000,99.2119584553554,2544.51479718384
"59","0500000US39061","OH","Ohio","Hamilton County",830639,2670799000,1445009000,184.829229437325,3215.35468476679
"60","0500000US48157","TX","Texas","Fort Bend County",822779,1449434641,759862848,190.749507600614,1761.63300351613
"61","0500000US41051","OR","Oregon","Multnomah County",815428,1265422000,1373076000,92.1596473902391,1551.85007137356
"62","0500000US06077","CA","California","San Joaquin County",779233,2227446646,1759228543,126.614967388009,2858.51169804154
